Lot Number,Sale Number,Url,Title,Current Price,Current # Bids,Current # Watchers,# Page Views,Time Left
16251,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16251,"Neon Genesis Evangelion ""Seele, the Seat of the Soul"" Asuka and Misato Production Cel (Gainax, c. 1995-96).",1,1,38,51,23h 19m 12s
16252,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16252,"Neon Genesis Evangelion ""The Magma Diver"" Asuka and Shinji Production Cel (Gainax, c. 1995-96).",3,2,30,38,23h 19m 5s
16253,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16253,"Neon Genesis Evangelion Opening Title Sequence Misato Production Cel and Animation Drawing (Gainax, c. 1995-96).",56,4,64,93,23h 18m 59s
16254,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16254,"Neon Genesis Evangelion ""Showdown in Tokyo-3"" Rei Ayanami Production Cel (Gainax, 1995).",1,1,44,53,23h 18m 53s
16255,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16255,"Neon Genesis Evangelion ""Mind, Matching, Moment"" Asuka Production Cel (Gainax, 1995).",56,4,41,69,23h 18m 46s
16256,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16256,"Neon Genesis Evangelion ""Mind, Matching, Moment"" Eva Unit 01 Production Cel with Painted Background (Gainax, c. 1995-96).",2400,5,108,301,23h 18m 40s
16257,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16257,"Neon Genesis Evangelion ""The Sickness unto Death, and Then..."" Misato Katsuragi Production Cel (Gainax, c. 1995-96).",36,3,43,63,23h 18m 34s
16258,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16258,"Neon Genesis Evangelion: Death and Rebirth Rei Production Cel (Gainax, c. 1997).",115,6,56,74,23h 18m 28s
16259,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16259,"Neon Genesis Evangelion ""A Man's Battle"" Asuka Production Cel (Gainax, c. 1995-96).",260,5,91,249,23h 18m 22s
16260,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16260,"Neon Genesis Evangelion: Death & Rebirth Rei Ayanami Production Cel and Animation Drawing (Gainax, c. 1997).",26,3,29,38,23h 18m 15s
16261,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16261,"Neon Genesis Evangelion ""Lies and Silence"" Rei Production Cel with Key Master Background (Gainax, c. 1995-96).",1,1,45,64,23h 18m 9s
16262,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16262,"Neon Genesis Evangelion ""Of the Shapes of Hearts and Humans"" Maya Ibuki Production Cel (Gainax, c. 1995-96).",1,1,24,37,23h 18m 3s
16263,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16263,"Neon Genesis Evangelion ""Mind, Matching, Moment"" Asuka Production Cel (Gainax, c. 1995-96).",1,1,26,48,23h 17m 56s
16264,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16264,"Neon Genesis Evangelion ""A Man's Battle"" Eva Unit 01 Production Cel (Gainax, c. 1995-96).",2,2,29,84,23h 17m 50s
16265,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16265,"Neon Genesis Evangelion ""A Man's Battle"" Eva Unit 01 Production Cel (Gainax, c. 1995-96).",11,3,35,96,23h 17m 44s
16266,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16266,"Neon Genesis Evangelion Shinji Ikari Production Cel with Production Background (Gainax, c. 1995-96).",1,1,28,27,23h 17m 37s
16267,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16267,"Neon Genesis Evangelion ""Moment and Heart Together"" Eva Unit 01 Production Cel with Production Background (Gainax, 1995).",625,6,60,95,23h 17m 31s
16268,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16268,"Neon Genesis Evangelion ""In the Still Darkness"" Eva Unit 01 Production Cel with Production Background (Gainax, 1995).",2,2,18,31,23h 17m 25s
16269,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16269,"Neon Genesis Evangelion ""Rei, Beyond the Heart"" Eva Unit 00 Production Cel with Production Background (Gainax, 1995).",11,2,24,32,23h 17m 19s
16270,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16270,"Neon Genesis Evangelion Eva Unit 00 Production Cel and Animation Drawing (Gainax, c. 1995-96).",11,2,23,106,23h 17m 12s
16271,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16271,"Neon Genesis Evangelion ""An Angel's Invasion"" Asuka Langley Soryu Production Cel (Gainax, 1996).",550,18,56,429,23h 17m 6s
16272,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16272,"Neon Genesis Evangelion ""At Least, Be Human"" Eva Unit 02 Production Cel (Gainax, 1996).",1,1,30,62,23h 17m
16273,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16273,"Neon Genesis Evangelion ""The Sickness Unto Death, and Then..."" Asuka Langley Soryu Production Cel with Production Background (Gainax, 1996).",1,1,24,53,23h 16m 53s
16274,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16274,"Neon Genesis Evangelion ""The Beast That Shouted 'I' at the Heart of the World"" Shinji Ikari Production Cel and Animation Drawing (Gainax, c. 1995-96).",11,4,19,51,23h 16m 47s
16275,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16275,"The End of Evangelion Shinji and Asuka Production Cel (Gainax, 1997).",5,3,19,33,23h 16m 40s
16276,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16276,"The End of Evangelion Asuka Production Cel (Gainax, 1997).",52,8,19,70,23h 16m 34s
16277,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16277,"The End of Evangelion Misato Katsuragi Production Cel (Gainax, 1997).",1150,5,57,129,23h 16m 27s
16278,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16278,"The End of Evangelion Misato and Shinji Production Cel (Gainax, 1997).",110,6,72,170,23h 16m 21s
16279,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16279,"The End of Evangelion Eva Unit 02 Pan Production Cel (Gainax, 1997).",1000,7,58,151,23h 16m 15s
16280,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16280,"The End of Evangelion Mass-Production Eva Production Cel and Animation Drawing (Gainax, 1997).",1,1,19,33,23h 16m 9s
16281,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16281,"The End of Evangelion Mass Production Eva Production Cel (Gainax, 1997).",1,1,21,80,23h 16m 3s
16282,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16282,"The End of Evangelion Eva Unit 02 Production Cel (Gainax, 1997).",140,6,31,135,23h 15m 57s
16283,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16283,"The End of Evangelion Eva Unit 01 Production Cel (Gainax, 1997).",1,1,33,96,23h 15m 50s
16284,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16284,"The End of Evangelion Lilith Production Cel and Animation Drawing (Gainax, 1997).",26,3,42,130,23h 15m 44s
16285,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16285,"The End of Evangelion Lilith Production Cel (Gainax, 1997).",56,3,62,154,23h 15m 38s
16286,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16286,"The End of Evangelion Asuka and Shinji Production Cel (Gainax, 1997).",210,6,39,103,23h 15m 32s
16287,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16287,"Golden Boy ""Computer Studies"" Madame President Production Cel Setup with Key Master Background and Animation Drawing Group of 6 (A.P.P.P., c. 1995-96).",0,0,30,92,23h 15m 25s
16288,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16288,"Golden Boy ""Computer Studies"" Kintaro Oe Pan Production Cel and Animation Drawing (A.P.P.P., c. 1995-96).",41,3,23,50,23h 15m 19s
16289,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16289,"Golden Boy ""Computer Studies"" Madame President Production Cel Setup with Key Master Background (A.P.P.P., 1995).",0,0,28,124,23h 15m 14s
16290,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16290,"Golden Boy ""Temptation of the Maiden"" Kintaro and Naoko Production Cel with Key Master Background and Layout Drawing (A.P.P.P., 1995",0,0,34,143,23h 15m 8s
16291,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16291,"Golden Boy Kintaro Oe Production Cel Setup with Key Master Background from Opening Title Sequence with Animation Drawing Group of 3 (A.P.P.P., 1995).",1,1,33,126,23h 15m 2s
16292,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16292,"Berserk Episode 1 Guts and Baron Production Cel (OLM, 1997).",725,11,70,1164,23h 14m 56s
16293,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16293,"Cardcaptor Sakura ""Sakura's Rival Appears"" Syaoran Li Production Cel with Production Background and Animation Drawing (Madhouse, 1998).",50,2,9,49,23h 14m 49s
16294,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16294,"Cardcaptor Sakura Sakura Kinomoto Production Cel with Production Background and Animation Drawing (Madhouse, c. 1998-2000).",50,2,13,53,23h 14m 43s
16295,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16295,"Cardcaptor Sakura Sakura Production Cel (Madhouse, c. 1998-2000).",0,0,10,25,23h 14m 37s
16296,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16296,"Cardcaptor Sakura Sakura Pan Production Cel and Animation Drawing (Madhouse, 1998-2000).",1,1,13,26,23h 14m 31s
16297,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16297,"Cardcaptor Sakura ""Sakura's Wonderful Christmas"" Sakura Production Cel Setup with Key Master Background and Layout Print (Madhouse, c. 1998-2000).",2,2,14,77,23h 14m 24s
16298,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16298,"Cardcaptor Sakura ""Sakura and the Big Teddy Bear"" Sakura Production Cel Setup with Key Master Background, Layout Drawing, and Animation Drawing, Group of 4 (Madhouse, c. 1998-2000).",1,1,13,31,23h 14m 18s
16299,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16299,"Trigun ""Under the Sky So Blue"" Vash the Stampede Production Cel with Key Master Background and Layout Drawing (Madhouse, 1998).",290,9,32,52,23h 14m 12s
16300,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16300,"Trigun Vash the Stampede Opening Title Production Cel and Animation Drawing (Madhouse, 1998).",300,7,43,80,23h 14m 6s
16301,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16301,"Cowboy Bebop ""Cowboy Funk"" Spike and Jet Production Cel Setup with Key Master Background (Sunrise, 1998).",625,8,101,221,23h 14m
16302,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16302,"Cowboy Bebop: The Movie Spike Spiegel Production Cel and Animation Drawing (Sunrise, 2001).",105,5,49,61,23h 13m 54s
16303,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16303,"Cowboy Bebop ""Jupiter Jazz Part 1"" Faye Valentine Production Cel and Animation Drawing (Sunrise, c. 1998-99).",105,4,67,75,23h 13m 48s
16304,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16304,"Cowboy Bebop Faye Valentine Production Cel (Sunrise, 1998).",21,6,57,49,23h 13m 41s
16305,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16305,"Cowboy Bebop ""Cowboy Funk"" Spike Spiegel Production Cel (Sunrise, 1998).",105,8,84,136,23h 13m 35s
16306,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16306,"Cowboy Bebop ""Jupiter Jazz Part 1"" Faye Valentine Production Cel and Animation Drawing (Sunrise, 1999).",92,8,95,132,23h 13m 29s
16307,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16307,"The Big O Episode 1 Big O and Dorothy-1 Production Cel with Production Background and Animation Drawing (Sunrise, 1999).",310,12,13,65,23h 13m 23s
16308,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16308,"The Big O Roger Smith Pan Production Cel with Master Background (Sunrise, c. 1999-2000).",525,16,16,78,23h 13m 17s
16309,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16309,"The Big O Episode 13 Production Cel (Sunrise, 1999).",130,6,23,60,23h 13m 11s
16310,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16310,"Escaflowne: A Girl in Gaea Hitomi Kanazaki and Guymelef Production Cels with Animation Drawings Group of 4 (Sunrise, 2000).",105,3,16,49,23h 13m 5s
16311,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16311,"Detective Conan Episode 179 Conan Edogawa Production Cel and Animation Drawing (TMS Entertainment, c. 1996-2002).",0,0,26,101,23h 12m 58s
16312,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16312,"Samurai Pizza Cats Guido Anchovy Production Cel with Production Background (Tatsunoko Productions, c. 1990-91).",0,0,17,33,23h 12m 52s
16313,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16313,"Crayon Shin-Chan Shinnosuke Nohara Production Cel with Custom Painted Background (Shin-Ei Animation, c. 1992-2000).",1,1,12,50,23h 12m 46s
16314,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16314,"Inuyasha ""Go Home to Your Own Time, Kagome!"" Inuyasha Production Cel and Animation Drawing (Sunrise, c. 2000-04).",115,6,18,18,23h 12m 39s
16315,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16315,"Inuyasha ""Return to the Place Where We First Met"" Inuyasha Production Cel (Sunrise, c. 2000-04).",145,42,19,33,23h 12m 33s
16316,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16316,"Inuyasha ""Giant Ogre of the Forbidden Tower"" Inuyasha and Sango Production Cel Setup with Key Master Background and Animation Drawing Group of 4 (Sunrise, 2000-04).",155,6,28,27,23h 12m 27s
16317,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16317,"One Piece: The Movie Monkey D. Luffy, Roronoa Zoro, and El Drago Production Cel Setup with Key Master Background (Toei Animation, 2000).",3,2,41,81,23h 12m 21s
16318,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16318,"Hunter x Hunter Hisoka Morow Production Cel and Animation Drawing (Nippon Animation, 2000).",105,3,41,63,23h 12m 15s
16319,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16319,"Vampire Hunter D: Bloodlust Zombie Production Cel (Madhouse, 2000).",1,1,22,41,23h 12m 9s
16320,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16320,"Vampire Hunter D: Bloodlust D Production Cel (Madhouse, 2000).",76,30,37,69,23h 12m 2s
16321,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16321,"Vampire Hunter D: Bloodlust Benge, Mashira, and Caroline Production Cel Setup with Key Master Background (Madhouse, 2000).",8,2,70,217,23h 11m 56s
16322,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16322,"Vampire Hunter D: Bloodlust D Production Cel with Animation Drawing Group of 3 (Madhouse, 2000).",105,28,49,98,23h 11m 50s
16323,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16323,"Vampire Hunter D Carmilla Production Cel (Madhouse, 2000).",38,17,40,64,23h 11m 44s
16324,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16324,"Vampire Hunter D: Bloodlust D Production Cel (Madhouse, 2000).",46,25,39,56,23h 11m 37s
16325,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16325,"Vampire Hunter D: Bloodlust Production Cel with Production Background (Madhouse, 2000).",26,12,34,57,23h 11m 31s
16326,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16326,"Vampire Hunter D: Bloodlust Carmilla's Castle of Chaythe Production Cel with Key Master Background (Madhouse, 2000).",8,2,48,102,23h 11m 25s
16327,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16327,"Vampire Hunter D: Bloodlust Leila Production Cel (Madhouse, 2000).",16,9,25,39,23h 11m 19s
16328,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16328,"Vampire Hunter D: Bloodlust Meier Link Production Cel (Madhouse, 2000).",8,2,25,59,23h 11m 13s
16329,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16329,"Vampire Hunter D: Bloodlust Castle of Chaythe Production Background with Studio-Printed Layout Drawing (Madhouse, 2000).",8,2,44,85,23h 11m 6s
16330,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16330,"Vampire Hunter D: Bloodlust Borgoff Production Cel (Madhouse, 2000).",1,1,14,17,23h 10m 59s
16331,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16331,"Vampire Hunter D: Bloodlust Caroline Production Cel with Key Master Background (Madhouse, 2000).",43,6,20,41,23h 10m 53s
16332,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16332,"Vampire Hunter D: Bloodlust D Production Cel (Madhouse, 2000).",26,13,30,29,23h 10m 47s
16333,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16333,"Vampire Hunter D: Bloodlust D Production Cel (Madhouse, 2000).",76,4,40,71,23h 10m 40s
16334,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16334,"Vampire Hunter D: Bloodlust D Production Cel (Madhouse, 2000).",76,5,33,45,23h 10m 34s
16335,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16335,"Read or Die Yomiko Readman, Nancy Makuhari, and Wendy Earhart Publicity Cel Signed by Hideyuki Kurata, Koji Masunari, and Masashi Ishihama (Studio Deen, c. 2001-02).",52,19,22,80,23h 10m 28s
16336,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16336,"Magic Knight Rayearth Umi Ryuuzaki, Hikaru Shidou, Fuu Hououji, Mokona, and Ferio Production Cel (TMS Entertainment, c. 1994-95).",1,1,16,150,23h 10m 22s
16337,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16337,"Perfect Blue Mima Production Cel with Production Background and Animation Drawing (Madhouse, 1997).",8,2,47,106,23h 10m 16s
16338,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16338,"Perfect Blue Mima Kirigoe and Rei Production Cel with Production Background (Madhouse, 1997).",8,2,41,99,23h 10m 9s
16339,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16339,"Perfect Blue Mima Kirigoe, Rei, and Yukiko Production Cel with Custom Painted Background and Animation Drawing (Madhouse, 1997).",105,5,67,169,23h 10m 3s
16340,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16340,"Fullmetal Alchemist Edward Elric, Alphonse Elric, Roy Mustang, and Riza Hawkeye Calendar Cover Hanken Genga Original Art (Bones, 2005).",240,6,42,85,23h 9m 57s
16341,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16341,"Super Dimension Fortress Macross Lynn Minmay Illustration by Haruhiko Mikimoto (Tatsunoko Production, 2013).",31,2,40,161,23h 9m 51s
16342,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16342,"Ghost in the Shell Motoko Kusanagi Animation Drawing (Production I.G., 1995).",350,10,71,280,23h 9m 45s
17001,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17001,Winsor McCay Gertie the Dinosaur Animation Drawing (1914).,3300,22,60,152,23h 7m 16s
17002,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17002,"The Flintstones Betty Rubble and Dino Published Original Model Sheet Art by Ed Benedict (Hanna-Barbera, 1960).",115,6,42,177,23h 7m 7s
17003,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17003,"The Flintstones Flintstone Home Concept Art by Ed Benedict (Hanna-Barbera, c. 1959).",155,8,55,156,23h 6m 58s
17004,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17004,"The Flintstones Rubble Home Concept Art by Ed Benedict (Hanna-Barbera, c. 1959).",260,8,56,119,23h 6m 50s
17005,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17005,The Flintstones Early Concept Painting (Hanna-Barbera c. 1960s),230,7,70,212,23h 6m 42s
17006,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17006,"The Flintstones ""The Flintstone Flyer"" First Episode Fred Flintstone Layout Drawing Group of 2 Attributed to Ed Benedict (Hanna-Barbera, 1960).",13,4,36,92,23h 6m 33s
17007,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17007,"The Flintstones Barney Rubble Layout Drawing Created for Unaired ""Flagstones"" Pilot by Dick Bickenbach (Hanna-Barbera, 1959).",200,6,27,90,23h 6m 24s
17008,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17008,"The Flintstones Early Wilma Flintstone Character Design Drawing by Ed Benedict (Hanna-Barbera, c. 1959-1960).",8,3,33,116,23h 6m 16s
17009,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17009,"The Flintstones Fred Flintstone, Barney Rubble, and Fred Jr. Early Character Design Drawing by Ed Benedict (Hanna-Barbera, c. 1959).",310,9,26,108,23h 6m 7s
17010,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17010,"The Flintstones ""The Babysitters"" Fred, Barney, and Egbert Production Cel Setup with Master Background (Hanna-Barbera, 1960/1960s-1970s).",160,6,73,160,23h 5m 59s
17011,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17011,"The Flintstones ""The Prowler"" Fred Flintstone and Barney Rubble Layout Drawing Group of 2 Attributed to Ed Benedict (Hanna-Barbera, 1960).",1,1,15,42,23h 5m 50s
17012,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17012,"The Flintstones Fred Flintstone and Barney Rubble Character Design Drawing by Dick Bickenbach (Hanna-Barbera, c. 1960).",210,6,50,142,23h 5m 42s
17013,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17013,"The Flintstones Fred Flintstone Character Design Drawing by Ed Benedict (Hanna-Barbera, c. 1960).",210,4,24,111,23h 5m 33s
17014,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17014,"The Flintstones Fred Flintstone Production Cel for Winston Cigarette Commercial (Hanna-Barbera, 1960).",54,4,47,309,23h 5m 25s
17015,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17015,"The Flintstones ""The Astr'Nuts"" Complete Episode Storyboards and Script Group (Hanna-Barbera, 1961).",410,14,48,210,23h 5m 16s
17016,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17016,"The Flintstones TV Guide Cover Layout Drawing by Dick Bickenbach (Hanna-Barbera, 1961).",64,6,44,107,23h 5m 7s
17017,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17017,"The Flintstones Fred Flintstone TV Guide Cover Layout Art by Dick Bickenbach Group of 3 (Hanna-Barbera, 1964).",62,6,29,83,23h 4m 59s
17018,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17018,"The Flintstones ""Ann-Margrock Presents"" Fred Flintstone, Barney Rubble, and Ann-Margrock Production Cel (Hanna-Barbera, 1963).",210,6,34,92,23h 4m 50s
17019,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17019,"The Flintstones Stony Curtis and Ann-Margrock Layout Drawing Group of 3 (Hanna-Barbera, 1963/1965).",8,2,29,56,23h 4m 41s
17020,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17020,"The Flintstones Layout Drawings by Dick Bickenbach Group of 4 (Hanna-Barbera, 1961-65).",115,3,17,83,23h 4m 33s
17021,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17021,"The Flintstones Pregnant Wilma Flintstone Drawing by Dick Bickenbach (Hanna-Barbera, 1963).",1,1,20,54,23h 4m 24s
17022,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17022,"The Flintstones ""The Blessed Event"" Fred Flintstone and Barney Rubble Layout Drawing by Dick Bickenbach (Hanna-Barbera, 1963).",115,4,26,77,23h 4m 15s
17023,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17023,"The Flintstones ""The Blessed Event"" Complete Set of 55 Pages of Original Storyboard Artwork (Hanna-Barbera, 1963).",130,5,43,127,23h 4m 7s
17024,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17024,"The Flintstones ""The Return of Stony Curtis"" Color Model Cel with New Fred and Barney Show Pan Stock Production Background (Hanna-Barbera, 1965/1979).",52,4,26,67,23h 3m 58s
17025,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17025,"The Flintstones Fred Flintstone Original Model Sheet Art by Dick Bickenbach (Hanna-Barbera, 1965).",575,5,38,112,23h 3m 50s
17026,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17026,"The Flintstones Wilma Original Model Sheet Art by Dick Bickenbach (Hanna-Barbera, 1965).",76,2,30,88,23h 3m 41s
17027,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17027,"The Flintstones Fred and Barney Production Cel and Master Background (Hanna-Barbera, c. 1960-61).",310,9,53,120,23h 3m 32s
